ID_T,ID_D_N,ID_Fecha,Fecha,Dia Semana,Laboral Festivo,Dia Noche,Mes,Fase,Anillos diarios,Anillos acumulados,Longitud Tunel Acumulada,Metros tunel por dia,PK Tuneladora,Geologia,Notas,Produccion Diaria,Tipo,Tipo_Nivel_1,Scatter Excavacion,Scatter Montaje,Parada_Tipo_Desglose,Minutos,Impotancia Parada
1,1,1,27/06/2013,Jueves,Laboral,D,Junio,Initial Drive,1,1,17.629,1.949,35090.311,IG,,SI,Parada ,Parada Planificada,,,Topografia,60,Leve
2,1,1,27/06/2013,Jueves,Laboral,D,Junio,Initial Drive,1,1,17.629,1.949,35090.311,IG,,SI,Parada ,Parada Planificada,,,Hora Comida,60,Leve
3,1,1,27/06/2013,Jueves,Laboral,D,Junio,Initial Drive,1,1,17.629,1.949,35090.311,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,180,Moderada
4,1,1,27/06/2013,Jueves,Laboral,D,Junio,Initial Drive,1,1,17.629,1.949,35090.311,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,200,Larga
5,1,1,27/06/2013,Jueves,Laboral,D,Junio,Initial Drive,1,1,17.629,1.949,35090.311,IG,,SI,Producción,Excavación,Excavación,,Excavación,220,Larga
6,2,1,27/06/2013,Jueves,Laboral,N,Junio,Initial Drive,1,1,17.629,1.949,35090.311,IG,,SI,Parada ,Parada Planificada,,,Topografia,60,Leve
7,2,1,27/06/2013,Jueves,Laboral,N,Junio,Initial Drive,1,1,17.629,1.949,35090.311,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,60,Leve
8,2,1,27/06/2013,Jueves,Laboral,N,Junio,Initial Drive,1,1,17.629,1.949,35090.311,IG,,SI,Producción,Excavación,Excavación,,Excavación,300,Larga
9,2,1,27/06/2013,Jueves,Laboral,N,Junio,Initial Drive,1,1,17.629,1.949,35090.311,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,300,Larga
10,3,2,28/06/2013,Viernes,Laboral,D,Junio,Initial Drive,1,2,20.052,2.423,35092.734,IG,,SI,Parada ,Parada Planificada,,,Hora Comida,60,Leve
11,3,2,28/06/2013,Viernes,Laboral,D,Junio,Initial Drive,1,2,20.052,2.423,35092.734,IG,,SI,Parada ,Parada No Planificada - Paradas TBM,,,Sistema de Guiado,90,Moderada
12,3,2,28/06/2013,Viernes,Laboral,D,Junio,Initial Drive,1,2,20.052,2.423,35092.734,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Material Rodante,90,Moderada
13,3,2,28/06/2013,Viernes,Laboral,D,Junio,Initial Drive,1,2,20.052,2.423,35092.734,IG,,SI,Producción,Excavación,Excavación,,Excavación,480,Muy Larga
14,4,2,28/06/2013,Viernes,Laboral,N,Junio,Initial Drive,1,2,20.052,2.423,35092.734,IG,,SI,Parada ,Parada Planificada,,,Hora Comida,60,Leve
15,4,2,28/06/2013,Viernes,Laboral,N,Junio,Initial Drive,1,2,20.052,2.423,35092.734,IG,,SI,Parada ,Parada Planificada,,,Topografia,80,Moderada
16,4,2,28/06/2013,Viernes,Laboral,N,Junio,Initial Drive,1,2,20.052,2.423,35092.734,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,90,Moderada
17,4,2,28/06/2013,Viernes,Laboral,N,Junio,Initial Drive,1,2,20.052,2.423,35092.734,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,100,Moderada
18,4,2,28/06/2013,Viernes,Laboral,N,Junio,Initial Drive,1,2,20.052,2.423,35092.734,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Preparacion Excavacion,100,Moderada
19,4,2,28/06/2013,Viernes,Laboral,N,Junio,Initial Drive,1,2,20.052,2.423,35092.734,IG,,SI,Producción,Excavación,Excavación,,Excavación,290,Larga
20,5,3,29/06/2013,Sabado,FindeSemana,D,Junio,Initial Drive,1,3,21.075,1.023,35093.757,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,90,Moderada
21,5,3,29/06/2013,Sabado,FindeSemana,D,Junio,Initial Drive,1,3,21.075,1.023,35093.757,IG,,SI,Producción,Excavación,Excavación,,Excavación,230,Larga
22,5,3,29/06/2013,Sabado,FindeSemana,D,Junio,Initial Drive,1,3,21.075,1.023,35093.757,IG,,SI,Parada ,Parada No Planificada - Otros,,,Subestacion,400,Muy Larga
23,6,3,29/06/2013,Sabado,FindeSemana,N,Junio,Initial Drive,1,3,21.075,1.023,35093.757,IG,,SI,Parada ,Parada Planificada,,,Topografia,20,Leve
24,6,3,29/06/2013,Sabado,FindeSemana,N,Junio,Initial Drive,1,3,21.075,1.023,35093.757,IG,,SI,Producción,Excavación,Excavación,,Excavación,70,Moderada
25,6,3,29/06/2013,Sabado,FindeSemana,N,Junio,Initial Drive,1,3,21.075,1.023,35093.757,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,90,Moderada
26,6,3,29/06/2013,Sabado,FindeSemana,N,Junio,Initial Drive,1,3,21.075,1.023,35093.757,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,160,Moderada
27,6,3,29/06/2013,Sabado,FindeSemana,N,Junio,Initial Drive,1,3,21.075,1.023,35093.757,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Preparacion Excavacion,380,Muy Larga
28,7,4,30/06/2013,Domingo,FindeSemana,D,Junio,Initial Drive,1,4,21.874,0.799,35094.556,IG,,SI,Parada ,Parada Planificada,,,Topografia,40,Leve
29,7,4,30/06/2013,Domingo,FindeSemana,D,Junio,Initial Drive,1,4,21.874,0.799,35094.556,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,60,Leve
30,7,4,30/06/2013,Domingo,FindeSemana,D,Junio,Initial Drive,1,4,21.874,0.799,35094.556,IG,,SI,Producción,Excavación,Excavación,,Excavación,220,Larga
31,7,4,30/06/2013,Domingo,FindeSemana,D,Junio,Initial Drive,1,4,21.874,0.799,35094.556,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,400,Muy Larga
32,8,4,30/06/2013,Domingo,FindeSemana,N,Junio,Initial Drive,1,4,21.874,0.799,35094.556,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Inyeccion Mortero Secundario,720,Turno Completo
33,9,5,1/7/2013,Lunes,Laboral,D,Julio,Initial Drive,0,4,21.874,0,35094.556,IG,,NO,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,60,Leve
34,9,5,1/7/2013,Lunes,Laboral,D,Julio,Initial Drive,0,4,21.874,0,35094.556,IG,,NO,Parada ,Parada No Planificada - Logistica,,,Inyeccion Mortero Secundario,660,Muy Larga
35,10,5,1/7/2013,Lunes,Laboral,N,Julio,Initial Drive,0,4,21.874,0,35094.556,IG,,NO,Parada ,Parada No Planificada - Logistica,,,Inyeccion Mortero Secundario,720,Turno Completo
36,11,6,2/7/2013,Martes,Laboral,D,Julio,Initial Drive,0,4,21.874,0,35094.556,IG,,NO,Parada ,Parada Planificada,,,Hora Comida,60,Leve
37,11,6,2/7/2013,Martes,Laboral,D,Julio,Initial Drive,0,4,21.874,0,35094.556,IG,,NO,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,160,Moderada
38,11,6,2/7/2013,Martes,Laboral,D,Julio,Initial Drive,0,4,21.874,0,35094.556,IG,,NO,Parada ,Parada No Planificada - Logistica,,,Inyeccion Mortero Secundario,500,Muy Larga
39,12,6,2/7/2013,Martes,Laboral,N,Julio,Initial Drive,0,4,21.874,0,35094.556,IG,,NO,Parada ,Parada Planificada,,,Hora Comida,60,Leve
40,12,6,2/7/2013,Martes,Laboral,N,Julio,Initial Drive,0,4,21.874,0,35094.556,IG,,NO,Parada ,Parada No Planificada - Logistica,,,Inyeccion Mortero Secundario,660,Muy Larga
41,13,7,3/7/2013,Miercoles,Laboral,D,Julio,Initial Drive,1,5,23.397,1.523,35096.079,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,70,Moderada
42,13,7,3/7/2013,Miercoles,Laboral,D,Julio,Initial Drive,1,5,23.397,1.523,35096.079,IG,,SI,Parada ,Parada No Planificada - Paradas TBM,,,Sistema Acondicionamiento,140,Moderada
43,13,7,3/7/2013,Miercoles,Laboral,D,Julio,Initial Drive,1,5,23.397,1.523,35096.079,IG,,SI,Producción,Excavación,Excavación,,Excavación,510,Muy Larga
44,14,7,3/7/2013,Miercoles,Laboral,N,Julio,Initial Drive,1,5,23.397,1.523,35096.079,IG,,SI,Parada ,Parada Planificada,,,Topografia,50,Leve
